"t","P1","P2","P3","Te","G","Ws"
2010-05-03,2030.55555580391,1401.38889564615,NA,7.975578125,218.78502708044,2.3458890625
2010-05-05,2119.44443711804,1326.04167346532,2458.3332836628,6.75583125,193.259824548611,2.71304270833333
2010-05-07,2020.83332339923,1246.52778359854,1853.1249910593,6.6397515625,224.217187913773,2.52616493055555
2010-05-09,2584.0277671814,1997.56944924593,2337.847224178,5.79981614583333,75.1601018460648,2.09117569444444
2010-05-11,2238.54165694987,1455.2083277247,2135.76388294395,6.65788756313131,151.930579232428,1.3809226010101
2010-05-13,2136.45832240582,1508.68056054848,1525.34722236709,6.47771493055556,157.979363292824,1.95991232638889
2010-05-15,2264.58332956665,1306.59722619587,1369.79166770147,7.94498888888889,161.989986171875,2.69124635416667
2010-05-17,2104.51388110717,1475.00000205926,1631.20567587251,7.61066545138889,135.40801286169,4.33914548611111
2010-05-19,1905.55555042293,1202.77777862632,1363.19444695902,10.2056630208333,266.00108495081,2.96382378472222
2010-05-21,894.097225559462,727.083336691268,619.791670547177,13.5701230902778,304.131765908565,3.60751753472222
2010-05-23,771.527778822928,460.763892469307,392.013893074666,14.7555980902778,291.349184227431,1.71176180555556
2010-05-25,802.777780840794,652.777783391583,759.375007176358,11.1445760416667,220.751956339699,2.93072690972222
2010-05-27,1360.41666567326,1036.11111977241,912.500003818423,8.74471284722222,231.959769635417,2.58296232638889
2010-05-29,1219.09722209805,686.458339293798,1059.02777850214,10.4361833333333,266.640504690393,1.87917361111111
2010-05-31,1171.87499296334,905.20834017338,1246.87500122107,11.9404074652778,198.330891579861,3.00846475694444
2010-06-02,1299.65277678437,886.458334487138,734.722225409415,13.2892887152778,286.679583142361,2.17588854166667
2010-06-04,735.069444170222,537.500005551717,443.402784281514,14.8484537202381,320.555139064567,2.77905297619048
2010-06-06,306.597226920227,553.47222658909,304.861116533478,14.3347420138889,345.331496273148,1.84567586805556
2010-06-08,448.958341342707,532.291668932885,303.81945021347,14.5985425347222,211.059960659722,1.67600052083333
2010-06-10,439.93056167124,390.625001655684,351.388894306082,16.2343680555556,232.279776791088,1.42875590277778
2010-06-12,539.583338786744,567.361114572527,386.805560905486,14.2399453125,73.2642377662036,1.8258921875
2010-06-14,754.861117832156,546.875007916242,563.541672709915,11.9364836805556,208.258041762153,3.45340659722222
2010-06-16,624.305563978851,797.916673434278,635.069455951452,12.1669956597222,228.799581712963,1.53276440972222
2010-06-18,438.725496441418,480.20833862635,539.682548552279,13.2706621527778,332.908464221644,1.42196770833333
2010-06-20,615.972227494542,547.916671209451,NA,11.1814532986111,195.155921753472,3.11054375
2010-06-22,527.777783650284,714.236117951158,323.423429753061,13.2897071180556,296.730516597222,2.45625260416667
2010-06-24,456.250004315128,403.819447253934,310.416671654416,15.1172170138889,317.269478859954,2.53114322916667
2010-06-26,339.583338083078,283.333333157417,183.33333503041,17.0943546875,318.471820002894,1.95329461805556
2010-06-28,369.791666097525,218.055557640683,165.277780602789,15.2169164930556,293.989389618056,1.58885659722222
2010-06-30,337.847222444704,217.013892303738,210.763892288216,20.2493921875,334.548351762153,1.71402048611111
2010-07-02,179.861114127561,187.500001578074,201.388890725664,17.0356053819444,330.819835899884,2.16923420138889
2010-07-04,251.041671985553,181.944444827321,181.597223815819,24.0376222222222,324.37028385706,2.26710399305556
2010-07-06,186.419755174422,78.8888896505037,105.172415360294,18.7110613715278,220.1014090625,2.44018220486111
2010-07-08,NA,NA,NA,16.7944033333333,267.685193020089,3.1361759375
2010-07-10,NA,NA,NA,22.1108355429293,283.289528080545,1.76116485164141
2010-07-12,NA,NA,NA,24.3395055555556,266.939723402778,1.41960277777778
2010-07-14,182.692310319115,28.8461539416741,NA,20.9457876736111,230.194670176505,2.1829140625
2010-07-16,135.069446508876,119.444443249247,100.000001490116,21.9703855902778,261.961663559028,3.26617743055556
2010-07-18,203.819445515465,39.5833340266512,119.444446379526,20.1969258680556,269.958929369213,1.88837916666667
2010-07-20,250.000002819838,21.8749998085615,188.541667820472,18.9818605902778,271.813498229167,1.71793246527778
2010-07-22,230.902777260377,96.5277784917919,154.166667437595,22.8247401041667,306.855144458912,2.63282934027778
2010-07-24,162.152780478613,97.9166685655299,153.472223215633,18.3566661458333,202.537566018519,1.745225
2010-07-26,212.847225652593,55.5555569266693,169.791667256504,16.4429197916667,258.217288356482,3.49185
2010-07-28,284.722227473846,0,179.861112446007,18.0393288194444,266.956925118634,1.30760972222222
2010-07-30,243.055559280846,0,142.013890151348,16.4132918402778,155.985172497106,2.54318802083333
2010-08-01,345.833338693612,35.4166671944161,248.958334766535,16.6860439236111,138.076786681134,2.99991319444444
2010-08-03,419.097229165749,91.3194422610103,110.763890539399,17.7552704861111,151.866879890046,1.35200399305556
2010-08-05,373.611117790763,40.277778222743,113.194446131173,16.7613230902778,188.249337219329,1.60538402777778
2010-08-07,312.152781678984,26.0416664855762,119.444446224305,17.3406734375,207.53900401331,1.24069982638889
2010-08-09,259.722225368023,77.777777513903,125.347224090041,18.4681237847222,191.155718090278,0.990249479166666
2010-08-11,304.861116455868,56.2499988979351,103.819445991475,17.6697102746212,240.209859537037,2.01769064078283
2010-08-13,354.166671323279,77.4305558297784,125.347224090041,16.0187816603535,118.817024094329,1.36725153093434
2010-08-15,307.638894119817,200.347224767837,138.541668860449,17.682045505276,185.376095654067,1.63954353918651
2010-08-17,281.59722745315,170.833335439157,167.361112984104,18.5704954861111,118.935198587963,1.70593211805556
2010-08-19,353.472227799809,247.916668394787,176.041668022258,15.6800346748737,72.0871252980324,1.8076547979798
2010-08-21,426.388893379933,430.902777627731,209.375002369699,16.9351873263889,175.385563926505,2.14589114583333
2010-08-23,344.791671778593,151.041668736272,269.097225249021,18.3736421875,108.658854360532,2.48251163194444
2010-08-25,410.41667236843,272.222224648835,185.416668265437,15.2691354166667,148.957804204282,4.34328611111111
2010-08-27,779.861115798768,390.625006777959,211.805557676901,14.1182532986111,184.473739334491,2.27039409722222
2010-08-29,489.930559079059,316.666670609265,222.222225378371,13.7443673611111,181.730668399884,2.08221180555556
2010-08-31,587.152781249541,387.152784374646,313.194451413842,13.0019921875,192.561089800347,2.41444479166667
2010-09-02,597.569451874329,593.055562400776,319.097227986074,13.7537234375,183.419184207176,2.64546961805556
2010-09-04,516.666674184509,533.680564698039,304.861115912596,13.2057510416667,190.352624806134,1.32723003472222
2010-09-06,982.986116290299,452.083337715723,438.194452500385,12.3684109375,207.189749085648,0.969891493055556
2010-09-08,729.513894223298,494.79166816713,351.736116300648,13.4422798611111,190.469312554977,3.0809921875
2010-09-10,795.138892769399,552.083337782986,345.138895351233,14.0397980902778,77.9323571267361,3.55676024305555
2010-09-12,1038.19444444444,648.611115653896,369.791675462491,14.7618961805556,99.0695229021991,1.60992256944444
2010-09-14,867.013889261418,404.861118256424,396.52778298801,15.1140553819444,125.108119291088,1.88464548611111
2010-09-16,919.791664721237,446.354172192514,330.555562162772,13.2613449652778,120.523795636574,4.01362118055556
2010-09-18,1435.06944241623,853.472232223592,392.36111804429,10.9485263888889,119.861316666667,4.661375
2010-09-20,1571.87498961058,889.583342061895,914.930559953468,10.8594958333333,82.4076388888889,5.1125625
2010-09-22,1572.91667349637,679.861118654824,1134.02778117193,12.5458430555556,103.31935448206,3.19455885416667
2010-09-24,1288.54166716337,578.12501071021,577.777784084901,13.4630820023148,162.549411397569,1.97778084490741
2010-09-26,1429.86111208383,517.361116854267,486.486491822713,13.3023921875,122.468288249421,1.24526111111111
2010-09-28,1606.59721141888,692.361115141668,764.930559115277,12.4876960069445,23.3446248466435,2.39874149305556
2010-09-30,1667.36111324281,705.555566767645,973.958334419877,9.41086336805556,139.230477045718,1.67984479166667
2010-10-02,1678.12499714394,1072.91667207351,1092.36110964169,9.78115885416667,130.664887065972,3.32320034722222
2010-10-04,1752.77778175142,968.055558494396,1080.90277730177,11.5361435763889,80.6445188310185,4.79956510416667
2010-10-06,1591.3194457276,717.013896184249,1027.43055549864,12.5453831597222,104.204860231481,4.15316909722222
2010-10-08,1531.59721726034,627.430563973677,821.527782646525,13.3798432291667,84.6538323987268,1.80917170138889
2010-10-10,1679.86111239427,729.513893938727,830.208336261825,11.6504835069444,112.636806403357,4.30579791666667
2010-10-12,2094.0972134057,987.1527815962,1035.41666512481,8.93407581018519,105.978035388696,2.10925653935185
2010-10-14,2212.84721088078,1090.62501032733,1363.88888861984,8.97314878472222,95.635592271412,0.906354861111111
2010-10-16,2090.9722118328,1456.5972276032,1272.22221295039,8.78647621527778,56.2974358101852,2.15982552083333
2010-10-18,2795.13888557752,1300.34722059241,NA,4.35954079861111,128.406837479745,1.45261423611111
2010-10-20,2941.66667097145,1339.58333565129,NA,6.58958107638889,54.796491875,3.07057864583333
2010-10-22,2980.35715108826,1554.68749534339,NA,4.75772638888889,78.3953582638889,2.85380989583333
2010-10-24,2316.66670242945,1257.69231907832,1358.33334922791,7.79908472222222,78.9057555555556,3.30910451388889
2010-10-26,2787.49999859267,1629.86111413273,1937.84722220153,5.05444427083333,49.7060124189815,3.17700086805556
2010-10-28,3131.5972291761,1514.93055590739,1962.84721895225,6.38256805555556,44.3978843952546,2.834359375
2010-10-30,2466.66665458017,1396.87500635369,2110.41666329321,9.52735121527778,44.0571611574074,3.10722777777778
2010-11-01,2346.87498812046,1005.55556515853,1860.41667214077,9.5501459767512,41.5117095830703,1.4154436532444
2010-11-03,2502.43053212762,1460.41666830165,1847.91666393479,8.43440260416667,27.6417171614583,2.00425607638889
2010-11-05,2304.51387953427,1220.48611499162,1636.45834144619,9.49445138888889,36.3957390393519,3.58604809027778
2010-11-07,2527.77775873741,1360.41667146815,1195.07575949485,7.98926145833333,65.0860299103009,3.63752152777778
2010-11-09,3109.02776569128,1709.02778081492,3141.66665077209,2.38772951388889,52.6139057349537,1.76386684027778
2010-11-11,3306.94445222616,1919.44445222099,2673.61111752689,2.89208680555556,18.8016739236111,1.48477552083333
2010-11-13,3095.13889128963,2190.27778278622,2437.1527724175,5.66700590277778,28.3815376533565,4.93453854166667
2010-11-15,2776.04165963001,1955.90278428669,1983.68055363082,7.36009513888889,29.1285714033565,2.86573923611111
2010-11-17,3094.09722147716,1713.1944489924,2073.26389166216,4.57988125,46.9915775665509,1.31413315972222
2010-11-19,3262.15277074112,1729.16666852931,2514.23610664076,4.36329600694445,13.281365384838,4.38871996527778
2010-11-21,3500.69442143043,2400.34721750352,3235.06945454412,2.78196111111111,10.485194458912,1.51497934027778
2010-11-23,3304.86110928986,1871.87500349763,2857.98610477812,3.94509166666667,15.6928157233796,2.1706109375
2010-11-25,3853.12499271499,2511.80554812567,4026.04167403964,-0.0160545138888892,9.81026979166666,4.41895173611111
2010-11-27,4384.37498360872,2656.59722209805,3424.65277637044,-1.5950640625,17.5182188628472,2.08483767361111
2010-11-29,4778.12499925494,2927.08331967394,3886.45833565129,-3.40637951388889,36.9671504600694,0.824125520833333
2010-12-01,4723.95834492312,3288.1944483767,4983.68054214451,-3.17909496527778,23.2748482638889,4.11640364583333
2010-12-03,4693.0555568801,3044.79165499409,4696.18054810498,-2.71358333333333,28.9816348177083,3.8946765625
2010-12-05,4719.44443798727,3124.30554235147,4845.83332803514,-3.50851493055556,32.0510340480324,2.86032326388889
2010-12-07,4174.65277595653,2580.90277161035,3719.44444461001,-0.915149652777778,33.9828940451389,2.33334618055556
2010-12-09,4203.12499668863,2723.95833426466,4096.52778671847,-2.186365625,21.6957634780092,0.994780381944445
2010-12-11,4533.33333217435,2769.09720276793,4379.51388292842,-1.03295437184342,26.7730279824285,3.39684714330808
2010-12-13,4116.66666799121,2688.19443845294,3862.84722387791,1.78089704861111,23.983831490162,5.600171875
2010-12-15,4728.81944477558,3082.63888417019,4746.18056871825,-3.69513107638889,25.4759094849537,0.720570138888889
2010-12-17,4806.59721295039,2931.2500047187,4638.88890130652,-4.07474774305556,18.9179461342592,2.48865086805556
2010-12-19,5008.68053858479,3431.94443898068,4557.29165673256,-5.30220711805555,17.2595956770833,0.517353645833333
2010-12-21,4898.95831959115,2771.18054174611,4520.48609902461,-5.90288559027778,30.5947901880787,0.943244618055556
2010-12-23,5149.65276834037,3237.84724457396,4668.0555500918,-5.36601840277778,26.4498312037037,1.41377135416667
2010-12-25,4978.81944477558,3988.88887620221,5028.81946083572,-3.70816649305556,13.3802410966435,4.42915486111111
2010-12-27,5932.63888814383,3914.93054541449,5795.48610001802,-8.45093836805555,23.8834374884259,2.34628194444444
2010-12-29,5140.27776900265,3492.01387684378,5625.34723016951,-6.54718072916667,27.5847317795139,0.965918923611111
2010-12-31,4820.48609604438,3509.37499975165,5250.69444378217,-5.49274340277778,20.4811842853009,2.24774496527778
2011-01-02,4618.40277951625,2688.19443757335,3836.11110597849,1.27752760416667,35.8466255034722,3.98806996527778
2011-01-04,4751.73610779974,2859.72222189108,4241.31943616602,-2.86409114583333,37.1346728298611,1.15655642361111
2011-01-06,4429.51387994819,3111.11110407445,4144.79167842203,-1.65304375,17.402455703125,3.57629565972222
2011-01-08,4167.70832737287,2727.43056714535,3788.19443906347,-0.205241319444444,22.0993027430555,2.1474640625
2011-01-10,3963.19443649716,2698.61110625789,3892.36110573014,2.22719565972222,23.1361285532407,3.321796875
2011-01-12,4259.02778199977,2849.99997851749,3768.74999619193,-0.46973125,20.7914905353009,2.48997065972222
2011-01-14,4006.9444436166,2512.84721369545,3611.45832472377,1.59962586805556,18.6391869241898,1.69260017361111
2011-01-16,3596.87499536408,2165.97222133229,3854.38596940877,4.28429513888889,13.5615434866898,2.69377829861111
2011-01-18,3425.00000612603,2051.38889125859,2974.99999776483,6.56992013888889,12.9016529427083,3.91339965277778
2011-01-20,3532.29166567326,2361.11111478466,2986.80555158191,2.18714501488096,29.5772628778109,2.17043985615079
2011-01-22,4458.68055853579,2906.25000388051,3714.93055464493,-1.9566515625,33.1394333072917,1.44342951388889
2011-01-24,4225.00000604325,2692.36111247705,3817.70832753844,0.196746527777778,24.4093357060185,1.23988090277778
2011-01-26,3754.16666145126,2246.52778020957,3590.97222362955,1.5248388888889,16.2223260734954,3.44442274305556
2011-01-28,4721.87500115898,2821.18055596948,3962.15277330743,-3.55089791666667,37.1616223929398,1.55306423611111
2011-01-30,4818.40276552571,2750.69445619981,4092.7083177699,-3.84204722222222,65.4203494241898,1.10639583333333
2011-02-01,4467.0138930281,2637.8472257509,4035.06943459312,-1.979284375,60.8653593707913,1.74208469065657
2011-02-03,4401.38889435265,2999.30555976203,3937.15277065833,0.855050868055556,16.0993097280093,4.27235694444444
2011-02-05,3574.65277612209,2311.45832977361,3028.12500774032,4.22425555555556,45.0305301244213,6.25408854166667
2011-02-07,3662.84723745452,2323.95833451301,2595.13888052768,5.38999479166667,21.5587511747685,4.5231296875
2011-02-09,3582.29166683224,2177.77777132061,3196.87498733401,4.98716059027778,41.3511463888889,5.64273836805556
2011-02-11,3632.29166799121,2302.77777276933,2877.08333051867,3.32550590277778,35.5196224913195,2.77227690972222
2011-02-13,3746.18054843611,2299.30554454525,3046.18055042293,0.159934201388889,69.0213048003472,3.67724010416667
2011-02-15,4539.93055803908,3108.68055213036,4682.98611044884,-1.03312586805556,33.4538640914352,5.84916319444444
2011-02-17,4749.30554462804,3493.40277579096,4635.76389269696,-2.05757465277778,34.0609343373842,5.17709131944445
2011-02-19,4501.73610821366,2987.84721435772,4074.65276122093,-1.84167725694444,48.9949157349537,3.0740828125
2011-02-21,4839.23611582981,3069.44442633539,4164.58333449231,-3.42491753472222,83.0133054658565,2.85613420138889
2011-02-23,5335.41667130258,3240.97222671844,4535.41666848792,-4.2375515625,43.3297153674768,3.05402708333333
2011-02-25,4911.80556184716,3298.26387597455,4527.43056168159,-3.463890625,82.6270600231482,3.59110017361111
2011-02-27,3871.87499097652,2921.87499130766,3685.76388309399,0.490579513888889,101.587307170139,3.36769600694444
2011-03-01,4495.48610134257,2694.44444216788,3927.43055522442,-1.59197638888889,38.0955908188658,2.66017534722222
